author_handle, author_name, created_at, text, timestamp, tweet_source
"@sdtimes", "SD Times", "2019-05-31T14:10:00.000Z", "Leaders in the #2019SDTimes100 DevOps category: <https://twitter.com/Atlassian|@Atlassian> <https://twitter.com/chef|@chef> <https://twitter.com/CircleCI|@CircleCI> <https://twitter.com/CloudBees|@CloudBees> <https://twitter.com/HashiCorp|@HashiCorp> <https://twitter.com/jfrog|@jfrog> @OctopusDeploy @openmake @puppetize @Rancher_Labs @xebialabs", "1559311800", "Twitter"
"@sdtimes", "SD Times", "2019-05-31T14:03:03.000Z", "The #2019SDTimes100 votes are in and <https://twitter.com/CircleCI|@CircleCI>, you have been recognized as a leader in the DevOps space. Congrats! #SDTimes100", "1559311383", "Twitter"
"@matthewpskelton", "Matthew Skelton", "2019-05-31T13:37:08.000Z", "<https://twitter.com/CircleCI|@CircleCI> Nicely written :+1:", "1559309828", "Twitter"
"@sseraphini", "Sibelius Seraphini", "2019-05-31T12:56:02.000Z", "anybody having this issue with <https://twitter.com/getsentry|@getsentry> and <https://twitter.com/CircleCI|@CircleCI> :x:  error: EOF while parsing a value at line 1 column 0?we moved to use cocoapods, and it broke our build", "1559307362", "Twitter"
"@manuwell", "Wellington Santos", "2019-05-31T12:45:46.000Z", "Parallel Test , Build and Deploy a Rails app with <https://twitter.com/CircleCI|@CircleCI> <https://pawelurbanek.com/rails-continuous-integration>", "1559306746", "Twitter"
"@malgloir", "Danièle", "2019-05-31T10:53:34.000Z", "<https://twitter.com/CircleCI|@CircleCI> Pensez à aider les animaux ce sont eux notre avenir.", "1559300014", "Twitter"
"@chriswithers13", "Chris Withers", "2019-05-31T10:43:01.000Z", "<https://twitter.com/hynek|@hynek> You ever try <https://twitter.com/CircleCI|@CircleCI> ?", "1559299381", "Twitter"
"@ReportCloud", "The Cloud Report", "2019-05-31T06:17:17.000Z", "CircleCI Adds Additional Partner Integrations to Support Kubernetes Workloads <https://the-report.cloud/circleci-adds-additional-partner-integrations-to-support-kubernetes-workloads><https://twitter.com/CircleCI|@CircleCI> #kubernetes", "1559283437", "Twitter"
"@VTCoder", "Varun Chhangani", "2019-05-31T02:24:29.000Z", "<https://twitter.com/aengelbro|@aengelbro> <https://twitter.com/CircleCI|@CircleCI> Congratulations mate!", "1559269469", "Twitter"
"@sunnyenotick", "Anna Mykhailova", "2019-05-31T02:03:13.000Z", "Played with <https://twitter.com/CircleCI|@CircleCI>  on <https://twitter.com/getpantheon|@getpantheon> really awesome and makes routine dev tasks so easy and fast. Also a lot of fun!", "1559268193", "Twitter"
"@drakerehfeld", "Drake", "2019-05-30T23:18:06.000Z", ".<https://twitter.com/heroku|@heroku> feature request: chrome push notifications when builds complete (like <https://twitter.com/CircleCI|@CircleCI> does!) :)", "1559258286", "Twitter"
"@PythonAkwaIbom", "Python Akwa Ibom", "2019-05-30T21:12:12.000Z", "Behavioural, Test Driven development  and continuous integration is very important in software development @ayolovisgod will be speaking on BDD, TDD and continous integration with @CircleCI <https://t.co/odB4dNGmi1>", "1559250732", "Twitter"
